Round,Accuracy,Duration_Sec,Clients,Epochs,Model,Dataset,Data Distr. (Alpha),Learning Type,TFLOPS,Round_Throughput_TFLOPS,Avg_Training_Time_Sec,Avg_Eval_Time_Sec,Avg_Communication_Time_Sec,Train_Examples,Unique_Train_Examples,Current_Examples,Replay_Examples,Eval_Examples
1,0.9832,6.523029088973999,2,1,cnn,mnist,1.0,Federated Learning,0.16811619724591584,0.15738897901819196,5.741825186996721,1.0181468955124728,0.007539874990470707,60000.0,60000.0,60000.0,0.0,20000.0
2,0.989,6.523029088973999,2,1,cnn,mnist,1.0,Federated Learning,0.17942184389202967,0.34844572498411247,5.35639204151812,0.9776237914920785,0.005163625493878499,60000.0,60000.0,60000.0,0.0,20000.0
