Round,Accuracy,Duration_Sec,Clients,Epochs,Model,Dataset,Data Distr. (Alpha)
1,0.2316,8.18848627745503,4,1,cnn,cifar10,0.5
2,0.3094,8.331864833831787,4,1,cnn,cifar10,0.5
3,0.3733,8.336974143981934,4,1,cnn,cifar10,0.5
4,0.4093,8.346231698989868,4,1,cnn,cifar10,0.5
5,0.456,8.185631036758423,4,1,cnn,cifar10,0.5
6,0.5147,8.311544179916382,4,1,cnn,cifar10,0.5
7,0.5262,8.246821880340576,4,1,cnn,cifar10,0.5
8,0.5613,8.29667592048645,4,1,cnn,cifar10,0.5
9,0.5628,8.090711116790771,4,1,cnn,cifar10,0.5
10,0.5972,8.249275922775269,4,1,cnn,cifar10,0.5
11,0.612,8.432039260864258,4,1,cnn,cifar10,0.5
12,0.6184,8.472289085388184,4,1,cnn,cifar10,0.5
13,0.6544,8.41662883758545,4,1,cnn,cifar10,0.5
14,0.6457,8.423388004302979,4,1,cnn,cifar10,0.5
15,0.6757,8.206427812576294,4,1,cnn,cifar10,0.5
16,0.6572,8.221681118011475,4,1,cnn,cifar10,0.5
17,0.6871,8.332213401794434,4,1,cnn,cifar10,0.5
18,0.6686,7.99023699760437,4,1,cnn,cifar10,0.5
19,0.685,8.340036153793335,4,1,cnn,cifar10,0.5
20,0.6879,8.012392044067383,4,1,cnn,cifar10,0.5
21,0.6899,8.266123056411743,4,1,cnn,cifar10,0.5
22,0.6996,8.01311469078064,4,1,cnn,cifar10,0.5
23,0.7001,8.453166007995605,4,1,cnn,cifar10,0.5
24,0.6991,8.036119937896729,4,1,cnn,cifar10,0.5
25,0.7066,7.9938530921936035,4,1,cnn,cifar10,0.5
26,0.7066,8.367448806762695,4,1,cnn,cifar10,0.5
27,0.7005,8.36760401725769,4,1,cnn,cifar10,0.5
28,0.7116,8.049150228500366,4,1,cnn,cifar10,0.5
29,0.7107,7.998287200927734,4,1,cnn,cifar10,0.5
30,0.7102,8.249303102493286,4,1,cnn,cifar10,0.5
31,0.7224,7.942148923873901,4,1,cnn,cifar10,0.5
32,0.7116,8.24812126159668,4,1,cnn,cifar10,0.5
33,0.7094,8.495903015136719,4,1,cnn,cifar10,0.5
34,0.7164,7.992614984512329,4,1,cnn,cifar10,0.5
35,0.72,8.452636957168579,4,1,cnn,cifar10,0.5
36,0.7243,8.07331132888794,4,1,cnn,cifar10,0.5
37,0.7164,8.316786289215088,4,1,cnn,cifar10,0.5
38,0.7071,8.027485847473145,4,1,cnn,cifar10,0.5
39,0.7126,8.018104076385498,4,1,cnn,cifar10,0.5
40,0.7165,8.425681829452515,4,1,cnn,cifar10,0.5
41,0.7115,7.987468004226685,4,1,cnn,cifar10,0.5
42,0.7157,8.251665830612183,4,1,cnn,cifar10,0.5
43,0.7138,8.22554612159729,4,1,cnn,cifar10,0.5
44,0.709,8.043888807296753,4,1,cnn,cifar10,0.5
45,0.7151,8.288977146148682,4,1,cnn,cifar10,0.5
46,0.7138,8.330847978591919,4,1,cnn,cifar10,0.5
47,0.7125,8.269845008850098,4,1,cnn,cifar10,0.5
48,0.7057,8.335137844085693,4,1,cnn,cifar10,0.5
49,0.7131,8.463375806808472,4,1,cnn,cifar10,0.5
50,0.7115,8.272520065307617,4,1,cnn,cifar10,0.5
51,0.7102,8.317619323730469,4,1,cnn,cifar10,0.5
52,0.7101,8.658077001571655,4,1,cnn,cifar10,0.5
53,0.7167,7.994160890579224,4,1,cnn,cifar10,0.5
54,0.7126,7.8794989585876465,4,1,cnn,cifar10,0.5
55,0.7145,8.08738899230957,4,1,cnn,cifar10,0.5
56,0.7134,8.24597716331482,4,1,cnn,cifar10,0.5
57,0.7124,8.303651094436646,4,1,cnn,cifar10,0.5
58,0.7109,8.267745018005371,4,1,cnn,cifar10,0.5
59,0.711,8.049792051315308,4,1,cnn,cifar10,0.5
60,0.7081,7.957622051239014,4,1,cnn,cifar10,0.5
61,0.7068,7.8368189334869385,4,1,cnn,cifar10,0.5
62,0.7071,8.241957902908325,4,1,cnn,cifar10,0.5
63,0.7021,7.938375949859619,4,1,cnn,cifar10,0.5
64,0.7068,7.912536859512329,4,1,cnn,cifar10,0.5
65,0.7014,8.28769302368164,4,1,cnn,cifar10,0.5
66,0.7091,8.060410737991333,4,1,cnn,cifar10,0.5
67,0.7118,8.001314163208008,4,1,cnn,cifar10,0.5
68,0.7051,8.08265995979309,4,1,cnn,cifar10,0.5
69,0.7044,8.000540018081665,4,1,cnn,cifar10,0.5
70,0.7185,8.41489291191101,4,1,cnn,cifar10,0.5
71,0.7128,8.300331115722656,4,1,cnn,cifar10,0.5
72,0.7064,7.960798978805542,4,1,cnn,cifar10,0.5
73,0.7016,7.901259183883667,4,1,cnn,cifar10,0.5
74,0.7119,8.043578863143921,4,1,cnn,cifar10,0.5
75,0.7088,8.361024141311646,4,1,cnn,cifar10,0.5
76,0.7109,8.295689105987549,4,1,cnn,cifar10,0.5
77,0.712,8.039167165756226,4,1,cnn,cifar10,0.5
78,0.7052,8.444681882858276,4,1,cnn,cifar10,0.5
79,0.7043,8.306350231170654,4,1,cnn,cifar10,0.5
80,0.7067,8.35693883895874,4,1,cnn,cifar10,0.5
81,0.7083,8.232500791549683,4,1,cnn,cifar10,0.5
82,0.7042,7.974973917007446,4,1,cnn,cifar10,0.5
83,0.7076,7.910993814468384,4,1,cnn,cifar10,0.5
84,0.7071,8.245206117630005,4,1,cnn,cifar10,0.5
85,0.7098,7.961469888687134,4,1,cnn,cifar10,0.5
86,0.7063,8.271186113357544,4,1,cnn,cifar10,0.5
87,0.7018,8.26498794555664,4,1,cnn,cifar10,0.5
88,0.7084,8.367781162261963,4,1,cnn,cifar10,0.5
89,0.7093,8.049117803573608,4,1,cnn,cifar10,0.5
90,0.7093,7.871639728546143,4,1,cnn,cifar10,0.5
91,0.7071,7.9450109004974365,4,1,cnn,cifar10,0.5
92,0.7038,7.928318023681641,4,1,cnn,cifar10,0.5
93,0.7089,8.286557912826538,4,1,cnn,cifar10,0.5
94,0.7105,8.265076160430908,4,1,cnn,cifar10,0.5
95,0.7064,7.908933877944946,4,1,cnn,cifar10,0.5
96,0.7064,8.422823190689087,4,1,cnn,cifar10,0.5
97,0.7119,8.29707384109497,4,1,cnn,cifar10,0.5
98,0.7048,8.366333961486816,4,1,cnn,cifar10,0.5
99,0.7133,8.01628589630127,4,1,cnn,cifar10,0.5
100,0.707,8.026017189025879,4,1,cnn,cifar10,0.5
