Round,Accuracy,Duration_Sec,Clients,Epochs,Model,Dataset,Data Distr. (Alpha)
1,0.2111,8.195526002633452,4,1,cnn,cifar10,0.5
2,0.2886,8.039511919021606,4,1,cnn,cifar10,0.5
3,0.3872,8.379889249801636,4,1,cnn,cifar10,0.5
4,0.4274,8.066767930984497,4,1,cnn,cifar10,0.5
5,0.4783,8.285721063613892,4,1,cnn,cifar10,0.5
6,0.5226,7.932731866836548,4,1,cnn,cifar10,0.5
7,0.5334,8.234630823135376,4,1,cnn,cifar10,0.5
8,0.5747,8.374213933944702,4,1,cnn,cifar10,0.5
9,0.5934,7.909925222396851,4,1,cnn,cifar10,0.5
10,0.6132,8.363192081451416,4,1,cnn,cifar10,0.5
11,0.6411,8.024371862411499,4,1,cnn,cifar10,0.5
12,0.6324,8.417278289794922,4,1,cnn,cifar10,0.5
13,0.6616,8.33325481414795,4,1,cnn,cifar10,0.5
14,0.6797,7.850315093994141,4,1,cnn,cifar10,0.5
15,0.682,8.1131112575531,4,1,cnn,cifar10,0.5
16,0.6793,8.063942909240723,4,1,cnn,cifar10,0.5
17,0.6935,8.072813034057617,4,1,cnn,cifar10,0.5
18,0.6904,8.277078866958618,4,1,cnn,cifar10,0.5
19,0.6987,8.343077898025513,4,1,cnn,cifar10,0.5
20,0.6893,8.327843189239502,4,1,cnn,cifar10,0.5
21,0.6945,7.991505861282349,4,1,cnn,cifar10,0.5
22,0.7147,8.409518003463745,4,1,cnn,cifar10,0.5
23,0.702,7.976624965667725,4,1,cnn,cifar10,0.5
24,0.7135,8.254861116409302,4,1,cnn,cifar10,0.5
25,0.7182,8.25344204902649,4,1,cnn,cifar10,0.5
26,0.7229,8.483122825622559,4,1,cnn,cifar10,0.5
27,0.7152,8.251288890838623,4,1,cnn,cifar10,0.5
28,0.7233,8.436450004577637,4,1,cnn,cifar10,0.5
29,0.718,8.263275146484375,4,1,cnn,cifar10,0.5
30,0.7193,8.45520305633545,4,1,cnn,cifar10,0.5
31,0.7291,7.813222885131836,4,1,cnn,cifar10,0.5
32,0.7146,8.313823938369751,4,1,cnn,cifar10,0.5
33,0.7167,8.052103996276855,4,1,cnn,cifar10,0.5
34,0.7105,7.9692230224609375,4,1,cnn,cifar10,0.5
35,0.7193,8.266155004501343,4,1,cnn,cifar10,0.5
36,0.7255,8.042458772659302,4,1,cnn,cifar10,0.5
37,0.7237,8.410478830337524,4,1,cnn,cifar10,0.5
38,0.7238,8.399234056472778,4,1,cnn,cifar10,0.5
39,0.7198,8.047283172607422,4,1,cnn,cifar10,0.5
40,0.7158,7.998165845870972,4,1,cnn,cifar10,0.5
41,0.7198,8.753168106079102,4,1,cnn,cifar10,0.5
42,0.7174,8.432231903076172,4,1,cnn,cifar10,0.5
43,0.72,8.302606105804443,4,1,cnn,cifar10,0.5
44,0.7143,8.474906921386719,4,1,cnn,cifar10,0.5
45,0.7205,8.283452987670898,4,1,cnn,cifar10,0.5
46,0.7139,7.911419868469238,4,1,cnn,cifar10,0.5
47,0.7234,8.13860821723938,4,1,cnn,cifar10,0.5
48,0.7205,8.403702020645142,4,1,cnn,cifar10,0.5
49,0.7134,8.451814889907837,4,1,cnn,cifar10,0.5
50,0.7136,7.991021156311035,4,1,cnn,cifar10,0.5
51,0.7162,8.5920729637146,4,1,cnn,cifar10,0.5
52,0.7149,8.075809717178345,4,1,cnn,cifar10,0.5
53,0.7063,7.919257164001465,4,1,cnn,cifar10,0.5
54,0.7157,8.083973169326782,4,1,cnn,cifar10,0.5
55,0.7151,8.479912281036377,4,1,cnn,cifar10,0.5
56,0.7092,7.930195093154907,4,1,cnn,cifar10,0.5
57,0.7195,8.236167907714844,4,1,cnn,cifar10,0.5
58,0.7134,7.972152948379517,4,1,cnn,cifar10,0.5
59,0.7138,7.999425888061523,4,1,cnn,cifar10,0.5
60,0.7151,7.982327938079834,4,1,cnn,cifar10,0.5
61,0.7124,8.07872200012207,4,1,cnn,cifar10,0.5
62,0.7081,8.309571981430054,4,1,cnn,cifar10,0.5
63,0.7143,8.415769100189209,4,1,cnn,cifar10,0.5
64,0.7135,8.219032764434814,4,1,cnn,cifar10,0.5
65,0.7181,8.268783807754517,4,1,cnn,cifar10,0.5
66,0.7147,8.329407930374146,4,1,cnn,cifar10,0.5
67,0.7149,8.394007205963135,4,1,cnn,cifar10,0.5
68,0.7074,8.006723880767822,4,1,cnn,cifar10,0.5
69,0.7091,7.936119079589844,4,1,cnn,cifar10,0.5
70,0.7042,8.053394079208374,4,1,cnn,cifar10,0.5
71,0.7076,8.357542037963867,4,1,cnn,cifar10,0.5
72,0.7127,8.470539808273315,4,1,cnn,cifar10,0.5
73,0.7133,8.507686138153076,4,1,cnn,cifar10,0.5
74,0.718,8.04393196105957,4,1,cnn,cifar10,0.5
75,0.719,8.433760166168213,4,1,cnn,cifar10,0.5
76,0.7171,8.099535942077637,4,1,cnn,cifar10,0.5
77,0.716,8.090870141983032,4,1,cnn,cifar10,0.5
78,0.7086,7.969366073608398,4,1,cnn,cifar10,0.5
79,0.7118,7.870715856552124,4,1,cnn,cifar10,0.5
80,0.7128,8.216156005859375,4,1,cnn,cifar10,0.5
81,0.7023,8.430273056030273,4,1,cnn,cifar10,0.5
82,0.7173,8.022753953933716,4,1,cnn,cifar10,0.5
83,0.7061,7.9067301750183105,4,1,cnn,cifar10,0.5
84,0.7118,8.07987117767334,4,1,cnn,cifar10,0.5
85,0.7078,8.322033166885376,4,1,cnn,cifar10,0.5
86,0.7047,8.4447762966156,4,1,cnn,cifar10,0.5
87,0.7161,7.931543827056885,4,1,cnn,cifar10,0.5
88,0.7055,8.075526237487793,4,1,cnn,cifar10,0.5
89,0.7069,8.033413171768188,4,1,cnn,cifar10,0.5
90,0.7056,7.86368989944458,4,1,cnn,cifar10,0.5
91,0.7148,8.345063209533691,4,1,cnn,cifar10,0.5
92,0.706,8.4858238697052,4,1,cnn,cifar10,0.5
93,0.7142,8.002938032150269,4,1,cnn,cifar10,0.5
94,0.7161,8.399029016494751,4,1,cnn,cifar10,0.5
95,0.7067,8.30075192451477,4,1,cnn,cifar10,0.5
96,0.715,8.41610312461853,4,1,cnn,cifar10,0.5
97,0.7124,7.88512110710144,4,1,cnn,cifar10,0.5
98,0.7105,7.8631792068481445,4,1,cnn,cifar10,0.5
99,0.7107,8.160460948944092,4,1,cnn,cifar10,0.5
100,0.7099,8.405016899108887,4,1,cnn,cifar10,0.5
