Round,Accuracy,Duration_Sec,Clients,Epochs,Model,Dataset,Data Distr. (Alpha)
88,0.7064,7.910307168960571,4,1,cnn,cifar10,0.5
89,0.6977,7.90712571144104,4,1,cnn,cifar10,0.5
90,0.7083,8.300423860549927,4,1,cnn,cifar10,0.5
91,0.6994,8.43376898765564,4,1,cnn,cifar10,0.5
92,0.7032,8.400835752487183,4,1,cnn,cifar10,0.5
93,0.7174,8.07830286026001,4,1,cnn,cifar10,0.5
94,0.7112,8.020020961761475,4,1,cnn,cifar10,0.5
95,0.7163,8.282250881195068,4,1,cnn,cifar10,0.5
96,0.7124,8.334789037704468,4,1,cnn,cifar10,0.5
97,0.7118,7.996867895126343,4,1,cnn,cifar10,0.5
98,0.7212,8.372857093811035,4,1,cnn,cifar10,0.5
99,0.7208,8.206865787506104,4,1,cnn,cifar10,0.5
100,0.7055,8.027728080749512,4,1,cnn,cifar10,0.5
