Round,Accuracy,Duration_Sec,Clients,Epochs,Model,Dataset,Data Distr. (Alpha),Learning Type,TFLOPS,Round_Throughput_TFLOPS,Avg_Training_Time_Sec,Avg_Eval_Time_Sec,Avg_Communication_Time_Sec,Train_Examples,Unique_Train_Examples,Current_Examples,Replay_Examples,Eval_Examples
1,0.0982,30.55990707874298,100,1,cnn,mnist,0.01,Federated Learning,0.035368127884939725,0.2535802312510528,4.828309291601181,2.8430239716306094,0.019475416594650595,11683.0,11683.0,11683.0,0.0,1000000.0
2,0.1979,30.52210307121277,100,1,cnn,mnist,0.01,Federated Learning,0.04067942045826803,0.3858148886869641,1.6707575498905498,2.7277250229602212,0.006065724598011002,12063.0,12063.0,12063.0,0.0,1000000.0
3,0.1877,30.597711086273193,100,1,cnn,mnist,0.01,Federated Learning,0.04034858014718728,0.38139729037873576,0.8644322501961141,2.8058231341745703,0.0064894294075202195,8954.0,8954.0,8954.0,0.0,1000000.0
