Round,Accuracy,Duration_Sec,Clients,Epochs,Model,Dataset,Data Distr. (Alpha)
48,0.7146,8.194807052612305,4,1,cnn,cifar10,0.5
49,0.7077,8.308101177215576,4,1,cnn,cifar10,0.5
50,0.7127,7.912438869476318,4,1,cnn,cifar10,0.5
51,0.7066,7.895298957824707,4,1,cnn,cifar10,0.5
52,0.7125,8.427916049957275,4,1,cnn,cifar10,0.5
53,0.7099,8.297392845153809,4,1,cnn,cifar10,0.5
54,0.6999,8.122299194335938,4,1,cnn,cifar10,0.5
55,0.7087,8.263812065124512,4,1,cnn,cifar10,0.5
56,0.7024,8.122129201889038,4,1,cnn,cifar10,0.5
57,0.7081,8.444164991378784,4,1,cnn,cifar10,0.5
58,0.7046,8.250391006469727,4,1,cnn,cifar10,0.5
59,0.7021,7.941345930099487,4,1,cnn,cifar10,0.5
60,0.7087,8.097944736480713,4,1,cnn,cifar10,0.5
61,0.6978,8.456201076507568,4,1,cnn,cifar10,0.5
62,0.7024,8.264733791351318,4,1,cnn,cifar10,0.5
63,0.7111,8.036541223526001,4,1,cnn,cifar10,0.5
64,0.7074,8.220491886138916,4,1,cnn,cifar10,0.5
65,0.7112,8.578378200531006,4,1,cnn,cifar10,0.5
66,0.7047,8.171334743499756,4,1,cnn,cifar10,0.5
67,0.7075,8.437177896499634,4,1,cnn,cifar10,0.5
68,0.6962,8.543023109436035,4,1,cnn,cifar10,0.5
69,0.7047,8.383756875991821,4,1,cnn,cifar10,0.5
70,0.7002,8.066570043563843,4,1,cnn,cifar10,0.5
71,0.6971,7.927286863327026,4,1,cnn,cifar10,0.5
72,0.7121,8.438060998916626,4,1,cnn,cifar10,0.5
73,0.7096,8.257987022399902,4,1,cnn,cifar10,0.5
74,0.7134,8.389358758926392,4,1,cnn,cifar10,0.5
75,0.709,7.856381893157959,4,1,cnn,cifar10,0.5
76,0.7022,8.018631219863892,4,1,cnn,cifar10,0.5
77,0.7048,7.856616973876953,4,1,cnn,cifar10,0.5
78,0.7032,8.371801853179932,4,1,cnn,cifar10,0.5
79,0.6984,8.033641338348389,4,1,cnn,cifar10,0.5
80,0.703,7.86128830909729,4,1,cnn,cifar10,0.5
81,0.6934,8.311456203460693,4,1,cnn,cifar10,0.5
82,0.7118,8.324968099594116,4,1,cnn,cifar10,0.5
83,0.6965,8.481922149658203,4,1,cnn,cifar10,0.5
84,0.705,8.319187879562378,4,1,cnn,cifar10,0.5
85,0.7069,8.373703002929688,4,1,cnn,cifar10,0.5
86,0.7071,8.47836709022522,4,1,cnn,cifar10,0.5
87,0.7021,8.127731323242188,4,1,cnn,cifar10,0.5
88,0.7127,7.982131004333496,4,1,cnn,cifar10,0.5
89,0.6988,8.452077150344849,4,1,cnn,cifar10,0.5
90,0.7138,8.45011305809021,4,1,cnn,cifar10,0.5
91,0.7055,7.9088709354400635,4,1,cnn,cifar10,0.5
92,0.6998,8.290564060211182,4,1,cnn,cifar10,0.5
93,0.7082,8.261523962020874,4,1,cnn,cifar10,0.5
94,0.7068,7.950135707855225,4,1,cnn,cifar10,0.5
95,0.7079,8.006184339523315,4,1,cnn,cifar10,0.5
96,0.7022,8.27116084098816,4,1,cnn,cifar10,0.5
97,0.706,8.386281967163086,4,1,cnn,cifar10,0.5
98,0.7116,8.337522983551025,4,1,cnn,cifar10,0.5
99,0.6974,8.354848146438599,4,1,cnn,cifar10,0.5
100,0.7038,8.269176959991455,4,1,cnn,cifar10,0.5
