Round,Accuracy,Duration_Sec,Clients,Epochs,Model,Dataset,Data Distr. (Alpha)
1,0.2159,8.220154747818455,4,1,cnn,cifar10,0.5
2,0.2961,8.164914846420288,4,1,cnn,cifar10,0.5
3,0.3652,8.335367202758789,4,1,cnn,cifar10,0.5
4,0.4202,8.378728866577148,4,1,cnn,cifar10,0.5
5,0.4625,8.052958011627197,4,1,cnn,cifar10,0.5
6,0.5039,8.275824785232544,4,1,cnn,cifar10,0.5
7,0.5448,8.204031944274902,4,1,cnn,cifar10,0.5
8,0.557,7.967253923416138,4,1,cnn,cifar10,0.5
9,0.5851,8.316937923431396,4,1,cnn,cifar10,0.5
10,0.6251,8.445527076721191,4,1,cnn,cifar10,0.5
11,0.6349,8.24000597000122,4,1,cnn,cifar10,0.5
12,0.6477,8.0538911819458,4,1,cnn,cifar10,0.5
13,0.6438,8.412147998809814,4,1,cnn,cifar10,0.5
14,0.671,8.2855806350708,4,1,cnn,cifar10,0.5
15,0.668,8.048787832260132,4,1,cnn,cifar10,0.5
16,0.6777,8.238623857498169,4,1,cnn,cifar10,0.5
17,0.6761,7.952579021453857,4,1,cnn,cifar10,0.5
18,0.6816,8.417457342147827,4,1,cnn,cifar10,0.5
19,0.6952,8.340047836303711,4,1,cnn,cifar10,0.5
20,0.7055,8.233356952667236,4,1,cnn,cifar10,0.5
21,0.6974,8.3438241481781,4,1,cnn,cifar10,0.5
22,0.6979,8.317617893218994,4,1,cnn,cifar10,0.5
23,0.6965,8.02736783027649,4,1,cnn,cifar10,0.5
24,0.7129,8.00081181526184,4,1,cnn,cifar10,0.5
25,0.7073,8.11988115310669,4,1,cnn,cifar10,0.5
26,0.7109,8.25345778465271,4,1,cnn,cifar10,0.5
27,0.7178,8.420377969741821,4,1,cnn,cifar10,0.5
28,0.7093,7.893062114715576,4,1,cnn,cifar10,0.5
29,0.7104,8.385480880737305,4,1,cnn,cifar10,0.5
30,0.7086,8.018007040023804,4,1,cnn,cifar10,0.5
31,0.7152,8.035269737243652,4,1,cnn,cifar10,0.5
32,0.7178,8.339895248413086,4,1,cnn,cifar10,0.5
33,0.7173,8.089179992675781,4,1,cnn,cifar10,0.5
34,0.7115,8.25767707824707,4,1,cnn,cifar10,0.5
35,0.7123,8.137110948562622,4,1,cnn,cifar10,0.5
36,0.7099,8.346192121505737,4,1,cnn,cifar10,0.5
37,0.7118,7.888526916503906,4,1,cnn,cifar10,0.5
38,0.7139,8.35184383392334,4,1,cnn,cifar10,0.5
39,0.7148,8.071978092193604,4,1,cnn,cifar10,0.5
40,0.7101,8.393024206161499,4,1,cnn,cifar10,0.5
41,0.7189,8.311809062957764,4,1,cnn,cifar10,0.5
42,0.7023,7.985259056091309,4,1,cnn,cifar10,0.5
43,0.7144,8.081099033355713,4,1,cnn,cifar10,0.5
44,0.7103,8.403872013092041,4,1,cnn,cifar10,0.5
45,0.709,8.407471895217896,4,1,cnn,cifar10,0.5
46,0.7053,8.41544795036316,4,1,cnn,cifar10,0.5
47,0.7119,8.350517988204956,4,1,cnn,cifar10,0.5
