Round,Accuracy,Duration_Sec,Clients,Epochs,Model,Dataset,Data Distr. (Alpha)
1,0.1657,8.209829737441709,4,1,cnn,cifar10,0.5
2,0.2336,8.491238117218018,4,1,cnn,cifar10,0.5
3,0.375,8.392003059387207,4,1,cnn,cifar10,0.5
4,0.4069,8.026078939437866,4,1,cnn,cifar10,0.5
5,0.4459,8.045972108840942,4,1,cnn,cifar10,0.5
6,0.4785,8.487038850784302,4,1,cnn,cifar10,0.5
7,0.5059,7.9065210819244385,4,1,cnn,cifar10,0.5
8,0.5408,8.310801982879639,4,1,cnn,cifar10,0.5
9,0.5265,8.259195804595947,4,1,cnn,cifar10,0.5
10,0.4645,7.994716167449951,4,1,cnn,cifar10,0.5
11,0.5244,7.848179817199707,4,1,cnn,cifar10,0.5
12,0.5669,8.383311033248901,4,1,cnn,cifar10,0.5
13,0.5525,8.495067358016968,4,1,cnn,cifar10,0.5
14,0.5542,8.066877126693726,4,1,cnn,cifar10,0.5
15,0.534,8.054724931716919,4,1,cnn,cifar10,0.5
16,0.5641,8.074583053588867,4,1,cnn,cifar10,0.5
17,0.5801,8.387124061584473,4,1,cnn,cifar10,0.5
18,0.5418,8.271997928619385,4,1,cnn,cifar10,0.5
19,0.5844,8.357185125350952,4,1,cnn,cifar10,0.5
20,0.5893,8.279889822006226,4,1,cnn,cifar10,0.5
21,0.5999,7.872514009475708,4,1,cnn,cifar10,0.5
22,0.5785,8.070831060409546,4,1,cnn,cifar10,0.5
23,0.5731,8.25151515007019,4,1,cnn,cifar10,0.5
24,0.6042,8.3701651096344,4,1,cnn,cifar10,0.5
25,0.6082,8.058202266693115,4,1,cnn,cifar10,0.5
26,0.6006,8.340663194656372,4,1,cnn,cifar10,0.5
27,0.5874,8.38987398147583,4,1,cnn,cifar10,0.5
28,0.5922,8.017385959625244,4,1,cnn,cifar10,0.5
29,0.5961,8.27210807800293,4,1,cnn,cifar10,0.5
30,0.6047,8.056840181350708,4,1,cnn,cifar10,0.5
31,0.6098,8.608319997787476,4,1,cnn,cifar10,0.5
32,0.6037,7.947792053222656,4,1,cnn,cifar10,0.5
33,0.6044,8.43442988395691,4,1,cnn,cifar10,0.5
34,0.5968,8.390017032623291,4,1,cnn,cifar10,0.5
35,0.6008,8.105877876281738,4,1,cnn,cifar10,0.5
36,0.5868,8.429689645767212,4,1,cnn,cifar10,0.5
37,0.5744,8.207105875015259,4,1,cnn,cifar10,0.5
38,0.5977,7.987671852111816,4,1,cnn,cifar10,0.5
39,0.5923,8.381472110748291,4,1,cnn,cifar10,0.5
40,0.5992,8.405774116516113,4,1,cnn,cifar10,0.5
41,0.6009,8.340842008590698,4,1,cnn,cifar10,0.5
42,0.6092,8.361498832702637,4,1,cnn,cifar10,0.5
43,0.6016,8.408606052398682,4,1,cnn,cifar10,0.5
44,0.6018,8.337990760803223,4,1,cnn,cifar10,0.5
45,0.5872,8.22637414932251,4,1,cnn,cifar10,0.5
46,0.6142,8.06466031074524,4,1,cnn,cifar10,0.5
47,0.5824,8.241876125335693,4,1,cnn,cifar10,0.5
48,0.6047,8.073879718780518,4,1,cnn,cifar10,0.5
49,0.5976,8.298131227493286,4,1,cnn,cifar10,0.5
50,0.6076,8.046858072280884,4,1,cnn,cifar10,0.5
51,0.6114,8.359807968139648,4,1,cnn,cifar10,0.5
52,0.6014,8.215089082717896,4,1,cnn,cifar10,0.5
53,0.6007,8.382791996002197,4,1,cnn,cifar10,0.5
54,0.6037,8.023034811019897,4,1,cnn,cifar10,0.5
55,0.6108,8.014778137207031,4,1,cnn,cifar10,0.5
56,0.613,8.45635199546814,4,1,cnn,cifar10,0.5
