Round,Accuracy,Duration_Sec,Clients,Epochs,Model,Dataset,Data Distr. (Alpha)
1,0.1012,22.78753439585368,4,1,resnet,cifar10,0.5
2,0.2764,23.504881858825684,4,1,resnet,cifar10,0.5
3,0.3669,22.39361882209778,4,1,resnet,cifar10,0.5
4,0.4322,23.522135019302368,4,1,resnet,cifar10,0.5
5,0.5284,24.22496795654297,4,1,resnet,cifar10,0.5
6,0.5543,22.386268138885498,4,1,resnet,cifar10,0.5
7,0.5998,22.769477128982544,4,1,resnet,cifar10,0.5
8,0.6329,22.53869891166687,4,1,resnet,cifar10,0.5
9,0.6181,22.988925218582153,4,1,resnet,cifar10,0.5
10,0.6493,23.105159044265747,4,1,resnet,cifar10,0.5
11,0.6596,22.663554668426514,4,1,resnet,cifar10,0.5
12,0.6617,22.311151266098022,4,1,resnet,cifar10,0.5
13,0.68,22.48880100250244,4,1,resnet,cifar10,0.5
14,0.6787,22.69228506088257,4,1,resnet,cifar10,0.5
15,0.6917,22.26776623725891,4,1,resnet,cifar10,0.5
16,0.6868,22.20094895362854,4,1,resnet,cifar10,0.5
17,0.6838,22.863821029663086,4,1,resnet,cifar10,0.5
18,0.6913,22.632985830307007,4,1,resnet,cifar10,0.5
19,0.6913,22.573451042175293,4,1,resnet,cifar10,0.5
20,0.703,22.96853804588318,4,1,resnet,cifar10,0.5
21,0.6964,22.752628087997437,4,1,resnet,cifar10,0.5
22,0.6948,22.720496892929077,4,1,resnet,cifar10,0.5
23,0.6999,22.562920331954956,4,1,resnet,cifar10,0.5
24,0.7095,22.587982892990112,4,1,resnet,cifar10,0.5
25,0.7088,22.818395853042603,4,1,resnet,cifar10,0.5
26,0.7107,22.633166074752808,4,1,resnet,cifar10,0.5
27,0.7027,22.402291297912598,4,1,resnet,cifar10,0.5
28,0.71,22.48285412788391,4,1,resnet,cifar10,0.5
29,0.7112,22.27403974533081,4,1,resnet,cifar10,0.5
30,0.7152,22.50914716720581,4,1,resnet,cifar10,0.5
31,0.7008,22.70216202735901,4,1,resnet,cifar10,0.5
32,0.716,22.869521856307983,4,1,resnet,cifar10,0.5
33,0.7104,22.840521812438965,4,1,resnet,cifar10,0.5
34,0.7086,22.61647891998291,4,1,resnet,cifar10,0.5
35,0.7068,22.455653190612793,4,1,resnet,cifar10,0.5
36,0.7103,22.403517723083496,4,1,resnet,cifar10,0.5
37,0.7148,22.6427321434021,4,1,resnet,cifar10,0.5
38,0.7038,22.26179575920105,4,1,resnet,cifar10,0.5
39,0.7139,22.237587928771973,4,1,resnet,cifar10,0.5
40,0.7083,22.377564907073975,4,1,resnet,cifar10,0.5
41,0.715,22.542385816574097,4,1,resnet,cifar10,0.5
42,0.7123,22.39099907875061,4,1,resnet,cifar10,0.5
43,0.7122,22.764204025268555,4,1,resnet,cifar10,0.5
44,0.7179,22.330397129058838,4,1,resnet,cifar10,0.5
45,0.7195,22.42712664604187,4,1,resnet,cifar10,0.5
46,0.7171,22.853491067886353,4,1,resnet,cifar10,0.5
47,0.7106,22.33830189704895,4,1,resnet,cifar10,0.5
48,0.7156,22.176927089691162,4,1,resnet,cifar10,0.5
49,0.7201,22.432593822479248,4,1,resnet,cifar10,0.5
50,0.7176,22.600262880325317,4,1,resnet,cifar10,0.5
51,0.7183,22.59891986846924,4,1,resnet,cifar10,0.5
52,0.7213,22.626126050949097,4,1,resnet,cifar10,0.5
53,0.7247,22.586861848831177,4,1,resnet,cifar10,0.5
54,0.7131,22.659173011779785,4,1,resnet,cifar10,0.5
55,0.727,22.898088932037354,4,1,resnet,cifar10,0.5
56,0.7254,24.350980281829834,4,1,resnet,cifar10,0.5
57,0.7245,22.918141841888428,4,1,resnet,cifar10,0.5
58,0.7228,22.631520986557007,4,1,resnet,cifar10,0.5
59,0.7245,22.836320161819458,4,1,resnet,cifar10,0.5
