Round,Accuracy,Duration_Sec,Clients,Epochs,Model,Dataset,Data Distr. (Alpha)
60,0.7206,22.316829204559326,4,1,resnet,cifar10,0.5
61,0.7259,22.773892879486084,4,1,resnet,cifar10,0.5
62,0.7175,22.30290699005127,4,1,resnet,cifar10,0.5
63,0.7227,22.242062091827393,4,1,resnet,cifar10,0.5
64,0.7215,22.36273193359375,4,1,resnet,cifar10,0.5
65,0.718,22.454113960266113,4,1,resnet,cifar10,0.5
66,0.7191,22.339423894882202,4,1,resnet,cifar10,0.5
67,0.7211,22.19398283958435,4,1,resnet,cifar10,0.5
68,0.7236,22.498735189437866,4,1,resnet,cifar10,0.5
69,0.722,22.65083384513855,4,1,resnet,cifar10,0.5
70,0.7199,22.319581031799316,4,1,resnet,cifar10,0.5
71,0.7261,22.551745891571045,4,1,resnet,cifar10,0.5
72,0.7255,22.851644039154053,4,1,resnet,cifar10,0.5
73,0.7287,22.516796827316284,4,1,resnet,cifar10,0.5
74,0.7259,22.178623914718628,4,1,resnet,cifar10,0.5
75,0.7199,22.42968726158142,4,1,resnet,cifar10,0.5
76,0.7236,22.484769105911255,4,1,resnet,cifar10,0.5
77,0.7291,22.461623907089233,4,1,resnet,cifar10,0.5
78,0.7276,22.378670930862427,4,1,resnet,cifar10,0.5
79,0.7263,22.492519855499268,4,1,resnet,cifar10,0.5
80,0.726,22.617563724517822,4,1,resnet,cifar10,0.5
81,0.7277,22.734739065170288,4,1,resnet,cifar10,0.5
82,0.729,22.539380073547363,4,1,resnet,cifar10,0.5
83,0.7278,22.662137269973755,4,1,resnet,cifar10,0.5
84,0.7283,22.69024109840393,4,1,resnet,cifar10,0.5
85,0.729,22.326168060302734,4,1,resnet,cifar10,0.5
86,0.7273,22.406245946884155,4,1,resnet,cifar10,0.5
87,0.7264,22.400581121444702,4,1,resnet,cifar10,0.5
88,0.7274,22.643898963928223,4,1,resnet,cifar10,0.5
89,0.7258,22.747071981430054,4,1,resnet,cifar10,0.5
90,0.725,22.95591378211975,4,1,resnet,cifar10,0.5
91,0.7218,22.539313793182373,4,1,resnet,cifar10,0.5
92,0.7243,22.85855984687805,4,1,resnet,cifar10,0.5
93,0.7269,22.50200390815735,4,1,resnet,cifar10,0.5
94,0.7261,22.531004905700684,4,1,resnet,cifar10,0.5
95,0.7322,39.635498046875,4,1,resnet,cifar10,0.5
96,0.7308,22.88564682006836,4,1,resnet,cifar10,0.5
97,0.7258,22.400784015655518,4,1,resnet,cifar10,0.5
98,0.7278,22.684865951538086,4,1,resnet,cifar10,0.5
99,0.7329,22.132653951644897,4,1,resnet,cifar10,0.5
100,0.7328,23.058740854263306,4,1,resnet,cifar10,0.5
