Round,F1_Score,Duration_Sec,Clients,Epochs,Model,Dataset
1,0.0014462925411584122,36.33574604988098,4,1,squeezenet,oxfordpet
2,0.0014462925411584122,24.682717084884644,4,1,squeezenet,oxfordpet
3,0.0014462925411584122,25.424463033676147,4,1,squeezenet,oxfordpet
4,0.0014462925411584122,25.73653292655945,4,1,squeezenet,oxfordpet
5,0.0014462925411584122,26.730029106140137,4,1,squeezenet,oxfordpet
6,0.00749601978476662,26.0917911529541,4,1,squeezenet,oxfordpet
7,0.0038048579953457702,25.407933950424194,4,1,squeezenet,oxfordpet
8,0.0024502273198463236,26.88189697265625,4,1,squeezenet,oxfordpet
9,0.0027997137647730224,26.21364998817444,4,1,squeezenet,oxfordpet
10,0.005402052367122472,25.803404808044434,4,1,squeezenet,oxfordpet
11,0.0075806250366724035,25.63838529586792,4,1,squeezenet,oxfordpet
12,0.0011489616192279404,26.344971656799316,4,1,squeezenet,oxfordpet
13,0.0011548001511255948,22.48691201210022,4,1,squeezenet,oxfordpet
14,0.0011489616192279404,25.323065996170044,4,1,squeezenet,oxfordpet
15,0.00115789696032679,26.210916996002197,4,1,squeezenet,oxfordpet
16,0.003002560651596773,25.41088104248047,4,1,squeezenet,oxfordpet
17,0.001158207555004989,25.533122777938843,4,1,squeezenet,oxfordpet
18,0.007716578549201153,25.80603790283203,4,1,squeezenet,oxfordpet
19,0.006398166111084106,26.270411014556885,4,1,squeezenet,oxfordpet
20,0.006338982320214732,24.965245962142944,4,1,squeezenet,oxfordpet
