Round,Accuracy,Duration_Sec,Clients,Epochs,Model,Dataset,Data Distr. (Alpha)
1,0.2362,8.518235382407603,4,1,cnn,cifar10,0.5
2,0.3404,8.041945934295654,4,1,cnn,cifar10,0.5
3,0.3581,8.478599786758423,4,1,cnn,cifar10,0.5
4,0.4228,8.457319736480713,4,1,cnn,cifar10,0.5
5,0.4623,8.213820219039917,4,1,cnn,cifar10,0.5
6,0.4951,8.219256162643433,4,1,cnn,cifar10,0.5
7,0.5375,8.571647882461548,4,1,cnn,cifar10,0.5
8,0.5723,8.519518852233887,4,1,cnn,cifar10,0.5
9,0.5624,8.377805948257446,4,1,cnn,cifar10,0.5
10,0.6015,8.168681859970093,4,1,cnn,cifar10,0.5
11,0.5956,8.618704795837402,4,1,cnn,cifar10,0.5
12,0.6459,8.304468154907227,4,1,cnn,cifar10,0.5
13,0.6472,8.51215410232544,4,1,cnn,cifar10,0.5
14,0.6609,8.425058126449585,4,1,cnn,cifar10,0.5
15,0.6777,8.327608108520508,4,1,cnn,cifar10,0.5
16,0.6776,8.594583988189697,4,1,cnn,cifar10,0.5
17,0.6744,8.513224124908447,4,1,cnn,cifar10,0.5
18,0.6965,8.438167095184326,4,1,cnn,cifar10,0.5
19,0.6996,8.464497804641724,4,1,cnn,cifar10,0.5
20,0.7065,8.158069133758545,4,1,cnn,cifar10,0.5
21,0.7051,8.150461912155151,4,1,cnn,cifar10,0.5
22,0.7031,8.668838262557983,4,1,cnn,cifar10,0.5
23,0.7075,8.520923137664795,4,1,cnn,cifar10,0.5
24,0.7061,23.445940017700195,4,1,cnn,cifar10,0.5
25,0.7021,8.535033702850342,4,1,cnn,cifar10,0.5
26,0.7223,8.236418008804321,4,1,cnn,cifar10,0.5
27,0.7105,8.428234815597534,4,1,cnn,cifar10,0.5
28,0.717,8.211282014846802,4,1,cnn,cifar10,0.5
29,0.725,8.227768898010254,4,1,cnn,cifar10,0.5
30,0.7137,8.479537963867188,4,1,cnn,cifar10,0.5
31,0.7216,8.465407133102417,4,1,cnn,cifar10,0.5
32,0.7323,8.139564990997314,4,1,cnn,cifar10,0.5
33,0.72,8.13004183769226,4,1,cnn,cifar10,0.5
34,0.7228,8.190321207046509,4,1,cnn,cifar10,0.5
35,0.7256,8.498997926712036,4,1,cnn,cifar10,0.5
36,0.7161,8.428986072540283,4,1,cnn,cifar10,0.5
37,0.7201,7.975297927856445,4,1,cnn,cifar10,0.5
38,0.7241,8.63634204864502,4,1,cnn,cifar10,0.5
39,0.7129,8.23850393295288,4,1,cnn,cifar10,0.5
40,0.7164,8.147581815719604,4,1,cnn,cifar10,0.5
41,0.7245,8.206984996795654,4,1,cnn,cifar10,0.5
42,0.721,8.288016080856323,4,1,cnn,cifar10,0.5
43,0.7181,8.259028911590576,4,1,cnn,cifar10,0.5
44,0.7219,8.470683336257935,4,1,cnn,cifar10,0.5
45,0.7146,8.47937297821045,4,1,cnn,cifar10,0.5
46,0.7202,8.609281063079834,4,1,cnn,cifar10,0.5
47,0.7233,7.991582870483398,4,1,cnn,cifar10,0.5
48,0.7093,8.070769786834717,4,1,cnn,cifar10,0.5
49,0.7169,8.284706115722656,4,1,cnn,cifar10,0.5
50,0.7202,8.521359920501709,4,1,cnn,cifar10,0.5
51,0.7131,8.265302181243896,4,1,cnn,cifar10,0.5
52,0.7174,8.138983011245728,4,1,cnn,cifar10,0.5
53,0.718,8.540024995803833,4,1,cnn,cifar10,0.5
54,0.7127,8.233263731002808,4,1,cnn,cifar10,0.5
55,0.7191,8.584927082061768,4,1,cnn,cifar10,0.5
56,0.7113,8.612781047821045,4,1,cnn,cifar10,0.5
57,0.7141,8.2513427734375,4,1,cnn,cifar10,0.5
58,0.7129,8.141764163970947,4,1,cnn,cifar10,0.5
59,0.7103,8.215921878814697,4,1,cnn,cifar10,0.5
60,0.7156,8.484387159347534,4,1,cnn,cifar10,0.5
61,0.7091,8.187481880187988,4,1,cnn,cifar10,0.5
62,0.7147,8.119861125946045,4,1,cnn,cifar10,0.5
63,0.7087,8.205809116363525,4,1,cnn,cifar10,0.5
64,0.7075,8.568581104278564,4,1,cnn,cifar10,0.5
65,0.7115,8.516303777694702,4,1,cnn,cifar10,0.5
66,0.702,8.628054857254028,4,1,cnn,cifar10,0.5
67,0.7135,8.233193159103394,4,1,cnn,cifar10,0.5
68,0.7091,8.438293933868408,4,1,cnn,cifar10,0.5
69,0.7132,8.560222864151001,4,1,cnn,cifar10,0.5
70,0.7014,8.242615938186646,4,1,cnn,cifar10,0.5
71,0.7142,8.566272974014282,4,1,cnn,cifar10,0.5
72,0.7099,8.368642807006836,4,1,cnn,cifar10,0.5
73,0.7002,8.027599096298218,4,1,cnn,cifar10,0.5
74,0.7115,8.512874841690063,4,1,cnn,cifar10,0.5
75,0.706,8.519518852233887,4,1,cnn,cifar10,0.5
76,0.7124,8.279864072799683,4,1,cnn,cifar10,0.5
77,0.7119,8.420408964157104,4,1,cnn,cifar10,0.5
78,0.7185,8.072888135910034,4,1,cnn,cifar10,0.5
79,0.7136,8.60701322555542,4,1,cnn,cifar10,0.5
80,0.711,8.473433017730713,4,1,cnn,cifar10,0.5
81,0.7193,8.233517169952393,4,1,cnn,cifar10,0.5
82,0.717,8.03052806854248,4,1,cnn,cifar10,0.5
83,0.7072,8.135517835617065,4,1,cnn,cifar10,0.5
84,0.7089,8.5723237991333,4,1,cnn,cifar10,0.5
85,0.7113,8.220351934432983,4,1,cnn,cifar10,0.5
86,0.7064,8.233865976333618,4,1,cnn,cifar10,0.5
87,0.6995,8.444949865341187,4,1,cnn,cifar10,0.5
88,0.7056,8.479669094085693,4,1,cnn,cifar10,0.5
89,0.7088,8.596381902694702,4,1,cnn,cifar10,0.5
90,0.7083,8.511055946350098,4,1,cnn,cifar10,0.5
91,0.6998,8.18107795715332,4,1,cnn,cifar10,0.5
92,0.7039,8.548390865325928,4,1,cnn,cifar10,0.5
93,0.7041,8.254186868667603,4,1,cnn,cifar10,0.5
94,0.7057,8.519937992095947,4,1,cnn,cifar10,0.5
95,0.7099,8.594625234603882,4,1,cnn,cifar10,0.5
96,0.7149,8.721771955490112,4,1,cnn,cifar10,0.5
97,0.7143,8.640013217926025,4,1,cnn,cifar10,0.5
98,0.7094,8.218097925186157,4,1,cnn,cifar10,0.5
99,0.7089,8.199305057525635,4,1,cnn,cifar10,0.5
100,0.714,8.609700918197632,4,1,cnn,cifar10,0.5
