signature,run_id,status,returncode,started_at,ended_at,elapsed_sec,dataset,model,learning_type,learning_type_display,requested_num_clients,effective_num_clients,requested_clients_per_round,effective_clients_per_round,rounds,epochs,repetition,repetitions,seed,data_distr,comparison_profile,batch_size,lr,timeout_seconds,baseline,command,log_path,archived_csv_path,archived_plot_paths
mnist|cnn|SL|n=2|k=2|rounds=2|epochs=1|alpha=0.5|profile=fair|batch_size=None|lr=None|rep=1,mnist_cnn_sl_n2_k2_r2_e1_rep001,completed,0,2026-05-05T11:57:36,2026-05-05T11:58:25,49.589577,mnist,cnn,SL,Split Learning,2,2,2,2,2,1,1,1,325157,0.5,fair,,,900,fedavg,/Library/Frameworks/Python.framework/Versions/3.12/bin/python3 flower_baseline.py --dataset mnist --model cnn --baseline fedavg --rounds 2 --epochs 1 --num_clients 2 --clients-per-round 2 --data-distr 0.5 --learning-type SL --comparison-profile fair --seed 325157,/Users/ivan/Desktop/DML-Analysis/study_runs/smoke_local_split_paths_alpha0_5/logs/mnist_cnn_sl_n2_k2_r2_e1_rep001.log,/Users/ivan/Desktop/DML-Analysis/study_runs/smoke_local_split_paths_alpha0_5/csv/mnist_cnn_sl_n2_k2_r2_e1_rep001.csv,/Users/ivan/Desktop/DML-Analysis/study_runs/smoke_local_split_paths_alpha0_5/results/mnist_cnn_sl_n2_k2_r2_e1_rep001__accuracy_splitseq_cnn_mnist_2Clients.pdf|/Users/ivan/Desktop/DML-Analysis/study_runs/smoke_local_split_paths_alpha0_5/results/mnist_cnn_sl_n2_k2_r2_e1_rep001__time_splitseq_cnn_mnist_2Clients.pdf|/Users/ivan/Desktop/DML-Analysis/study_runs/smoke_local_split_paths_alpha0_5/results/mnist_cnn_sl_n2_k2_r2_e1_rep001__tflops_splitseq_cnn_mnist_2Clients.pdf|/Users/ivan/Desktop/DML-Analysis/study_runs/smoke_local_split_paths_alpha0_5/results/mnist_cnn_sl_n2_k2_r2_e1_rep001__training_time_splitseq_cnn_mnist_2Clients.pdf|/Users/ivan/Desktop/DML-Analysis/study_runs/smoke_local_split_paths_alpha0_5/results/mnist_cnn_sl_n2_k2_r2_e1_rep001__communication_time_splitseq_cnn_mnist_2Clients.pdf
mnist|cnn|SFLV1|n=2|k=2|rounds=2|epochs=1|alpha=0.5|profile=fair|batch_size=None|lr=None|rep=1,mnist_cnn_sflv1_n2_k2_r2_e1_rep001,timeout,,2026-05-05T11:58:25,2026-05-05T12:13:26,900.05438,mnist,cnn,SFLV1,SplitFed Learning v1,2,2,2,2,2,1,1,1,190197,0.5,fair,,,900,fedavg,/Library/Frameworks/Python.framework/Versions/3.12/bin/python3 flower_baseline.py --dataset mnist --model cnn --baseline fedavg --rounds 2 --epochs 1 --num_clients 2 --clients-per-round 2 --data-distr 0.5 --learning-type SFLV1 --comparison-profile fair --seed 190197,/Users/ivan/Desktop/DML-Analysis/study_runs/smoke_local_split_paths_alpha0_5/logs/mnist_cnn_sflv1_n2_k2_r2_e1_rep001.log,,
mnist|cnn|SFLV2|n=2|k=2|rounds=2|epochs=1|alpha=0.5|profile=fair|batch_size=None|lr=None|rep=1,mnist_cnn_sflv2_n2_k2_r2_e1_rep001,timeout,,2026-05-05T12:13:26,2026-05-05T12:28:26,900.068702,mnist,cnn,SFLV2,SplitFed Learning v2,2,2,2,2,2,1,1,1,997706,0.5,fair,,,900,fedavg,/Library/Frameworks/Python.framework/Versions/3.12/bin/python3 flower_baseline.py --dataset mnist --model cnn --baseline fedavg --rounds 2 --epochs 1 --num_clients 2 --clients-per-round 2 --data-distr 0.5 --learning-type SFLV2 --comparison-profile fair --seed 997706,/Users/ivan/Desktop/DML-Analysis/study_runs/smoke_local_split_paths_alpha0_5/logs/mnist_cnn_sflv2_n2_k2_r2_e1_rep001.log,,
